FishID,MMR_MO2,IntervalLength,R_squareds,RollEnd,MassKG,ChamVol,Window_mid,Model,MassG_log,MassG,MassKG_log,WholeMMR_KG,WholeMMR_log_KG,WholeMMR_log_G,Cham_fish_ratio,HSID
1,149.9187744,2,0.853849325,3.333333333,0.0387,2.637,2.333333333,MMR_air,1.587710965,38.7,-1.412289035,5.801856571,0.763566988,6.763566988,68.13953488,HS34
2,148.2417213,2,0.89079431,16.25,0.0432,2.59,15.25,MMR_air,1.635483747,43.2,-1.364516253,6.404042359,0.806454196,6.806454196,59.9537037,HS36
3,162.7519977,2,0.927158811,2.116666667,0.058,2.585,1.116666667,MMR_air,1.763427994,58,-1.236572006,9.439615865,0.974954322,6.974954322,44.56896552,HS35
4,171.6189048,2,0.979555403,6.366666667,0.203,5.825,5.366666667,MMR_air,2.307496038,203,-0.692503962,34.83863767,1.542061164,7.542061164,28.69458128,HS12
5,183.5855099,2,0.98951067,7.466666667,0.439,8.3,6.466666667,MMR_air,2.64246452,439,-0.35753548,80.59403885,1.90630292,7.90630292,18.90660592,HS21
6,181.7919793,2,0.985410693,3.133333333,0.469,8.3,2.133333333,MMR_air,2.671172843,469,-0.328827157,85.26043828,1.930747561,7.930747561,17.69722814,HS13
7,164.1824423,2,0.978919371,2.466666667,0.697,8.3,1.466666667,MMR_air,2.843232778,697,-0.156767222,114.4351623,2.05855949,8.05855949,11.90817791,HS22
8,232.6648932,2,0.988625391,2.666666667,0.715,8.3,1.666666667,MMR_air,2.854306042,715,-0.145693958,166.3553986,2.221036899,8.221036899,11.60839161,HS20
9,181.7116802,2,0.993266865,3.583333333,0.738,8.3,2.583333333,MMR_air,2.868056362,738,-0.131943638,134.10322,2.127439206,8.127439206,11.24661247,HS19
10,229.7125593,2,0.96331012,2.466666667,0.893,16.4,1.466666667,MMR_air,2.950851459,893,-0.049148541,205.1333155,2.312036199,8.312036199,18.36506159,HS14
11,167.8441079,2,0.966389242,4.916666667,1.58,30.2,3.916666667,MMR_air,3.198657087,1580,0.198657087,265.1936905,2.423563187,8.423563187,19.11392405,HS32
12,248.5065056,2,0.960941849,2.733333333,1.7,30.2,1.733333333,MMR_air,3.230448921,1700,0.230448921,422.4610595,2.625786684,8.625786684,17.76470588,HS30
13,230.1629608,2,0.975581664,13.05,2.3,40,12.05,MMR_air,3.361727836,2300,0.361727836,529.3748099,2.723763272,8.723763272,17.39130435,HS27
14,204.4571895,2,0.982611465,5.416666667,2.46,30.2,4.416666667,MMR_air,3.390935107,2460,0.390935107,502.9646861,2.701537494,8.701537494,12.27642276,HS16
15,257.717356,2,0.939833651,3.533333333,2.46,40,2.533333333,MMR_air,3.390935107,2460,0.390935107,633.9846959,2.802078774,8.802078774,16.2601626,HS17
16,258.6014221,2,0.973412129,4.216666667,3.02,40,3.216666667,MMR_air,3.480006943,3020,0.480006943,780.9762948,2.892637852,8.892637852,13.24503311,HS18
17,309.1089701,2,0.972483745,11.16666667,3.38,52.5,10.16666667,MMR_air,3.5289167,3380,0.5289167,1044.788319,3.019028308,9.019028308,15.53254438,HS33
18,302.4382109,2,0.932921648,6.016666667,3.55,52.5,5.016666667,MMR_air,3.550228353,3550,0.550228353,1073.655649,3.030865013,9.030865013,14.78873239,HS15
19,202.7399087,2,0.955956643,10.1,3.82,52.5,9.1,MMR_air,3.582063363,3820,0.582063363,774.4664511,2.889002609,8.889002609,13.7434555,HS31
20,255.5074366,2,0.948645491,8.1,4.44,52.5,7.1,MMR_air,3.64738297,4440,0.64738297,1134.453018,3.054786515,9.054786515,11.82432432,HS26
