FishID,MMR_MO2,IntervalLength,R_squareds,RollEnd,MassKG,ChamVol,Window_mid,Model,MassG_log,MassG,MassKG_log,WholeMMR_KG,WholeMMR_log_KG,MMR_log_G,Cham_fish_ratio,HSID
1,196.254941,2,0.878413654,5,0.0387,2.573,4,MMR_chase,1.587710965,38.7,-1.412289035,7.595066218,0.880531565,6.880531565,66.48578811,HS34
2,193.0991379,2,0.956674011,3.666666667,0.0432,2.605,2.666666667,MMR_chase,1.635483747,43.2,-1.364516253,8.341882757,0.921264082,6.921264082,60.30092593,HS36
3,207.3057754,2,0.962278673,4.383333333,0.058,2.585,3.383333333,MMR_chase,1.763427994,58,-1.236572006,12.02373498,1.080039395,7.080039395,44.56896552,HS35
4,206.0399061,2,0.981927844,3.1,0.203,5.825,2.1,MMR_chase,2.307496038,203,-0.692503962,41.82610095,1.621447381,7.621447381,28.69458128,HS12
5,208.2224137,2,0.99101003,3.183333333,0.439,8.3,2.183333333,MMR_chase,2.64246452,439,-0.35753548,91.4096396,1.960991997,7.960991997,18.90660592,HS21
6,213.5089338,2,0.985079786,2.633333333,0.469,8.3,1.633333333,MMR_chase,2.671172843,469,-0.328827157,100.1356899,2.000588894,8.000588894,17.69722814,HS13
7,194.2414012,2,0.992323627,2.35,0.697,8.3,1.35,MMR_chase,2.843232778,697,-0.156767222,135.3862566,2.13157458,8.13157458,11.90817791,HS22
8,254.6596082,2,0.986085984,2.733333333,0.715,8.3,1.733333333,MMR_chase,2.854306042,715,-0.145693958,182.0816198,2.260266108,8.260266108,11.60839161,HS20
9,199.2234452,2,0.996494656,2.75,0.738,8.3,1.75,MMR_chase,2.868056362,738,-0.131943638,147.0269025,2.167396808,8.167396808,11.24661247,HS19
10,193.8689263,2,0.989278516,2.55,0.893,8.3,1.55,MMR_chase,2.950851459,893,-0.049148541,173.1249512,2.238359664,8.238359664,9.294512878,HS14
11,220.6914476,2,0.987488111,3.566666667,1.58,30.2,2.566666667,MMR_chase,3.198657087,1580,0.198657087,348.6924872,2.54244259,8.54244259,19.11392405,HS32
12,245.7659947,2,0.985053477,9.333333333,1.7,30.2,8.333333333,MMR_chase,3.230448921,1700,0.230448921,417.802191,2.620970713,8.620970713,17.76470588,HS30
13,280.049218,2,0.933057335,11.81666667,2.3,40,10.81666667,MMR_chase,3.361727836,2300,0.361727836,644.1132015,2.8089622,8.8089622,17.39130435,HS27
14,238.4236661,2,0.984721929,2.683333333,2.46,30.2,1.683333333,MMR_chase,3.390935107,2460,0.390935107,586.5222186,2.768284469,8.768284469,12.27642276,HS16
15,291.3459533,2,0.965817644,12.43333333,2.46,52.5,11.43333333,MMR_chase,3.390935107,2460,0.390935107,716.7110452,2.855344097,8.855344097,21.34146341,HS17
16,229.0461265,2,0.978194442,3.266666667,3.02,40,2.266666667,MMR_chase,3.480006943,3020,0.480006943,691.719302,2.839929895,8.839929895,13.24503311,HS18
17,340.098484,2,0.983645408,3.783333333,3.38,52.5,2.783333333,MMR_chase,3.5289167,3380,0.5289167,1149.532876,3.060521396,9.060521396,15.53254438,HS33
18,237.8394457,2,0.973290685,3.4,3.55,40,2.4,MMR_chase,3.550228353,3550,0.550228353,844.3300322,2.926512237,8.926512237,11.26760563,HS15
19,236.5838697,2,0.805258471,1.983333333,3.82,52.5,0.983333333,MMR_chase,3.582063363,3820,0.582063363,903.7503824,2.956048494,8.956048494,13.7434555,HS31
20,297.5314067,2,0.95746173,3.25,4.44,52.5,2.25,MMR_chase,3.64738297,4440,0.64738297,1321.039446,3.120915786,9.120915786,11.82432432,HS26
