HSID,MassKG,RMR,MeanOfN,MeanSlope,ChamVol,Model,MassG_log,MassG,MassKG_log,WholeMMR_KG,WholeMMR_log_KG,WholeMMR_log_G,Cham_fish_ratio
HS12,0.203,39.99081616,2,-0.024066571,5.825,RMR,2.307496038,203,-0.692503962,8.118135681,0.909456306,6.909456306,28.69458128
HS12,0.203,40.42480844,3,-0.024327748,5.825,RMR,2.307496038,203,-0.692503962,8.206236112,0.914144008,6.914144008,28.69458128
HS12,0.203,40.87118051,4,-0.024596376,5.825,RMR,2.307496038,203,-0.692503962,8.296849643,0.91891322,6.91891322,28.69458128
HS12,0.203,41.84902883,5,-0.025184848,5.825,RMR,2.307496038,203,-0.692503962,8.495352853,0.929181422,6.929181422,28.69458128
HS12,0.203,42.53805976,6,-0.025599508,5.825,RMR,2.307496038,203,-0.692503962,8.635226131,0.936273715,6.936273715,28.69458128
HS12,0.203,43.09130624,7,-0.025932453,5.825,RMR,2.307496038,203,-0.692503962,8.747535166,0.941885697,6.941885697,28.69458128
HS12,0.203,43.59216842,8,-0.026233873,5.825,RMR,2.307496038,203,-0.692503962,8.849210189,0.946904511,6.946904511,28.69458128
HS12,0.203,44.0329427,9,-0.026499132,5.825,RMR,2.307496038,203,-0.692503962,8.938687368,0.951273748,6.951273748,28.69458128
HS12,0.203,44.41488778,10,-0.026728988,5.825,RMR,2.307496038,203,-0.692503962,9.01622222,0.955024607,6.955024607,28.69458128
HS13,0.469,45.39430726,2,-0.045311221,8.3,RMR,2.671172843,469,-0.328827157,21.2899301,1.328174236,7.328174236,17.69722814
HS13,0.469,46.42021487,3,-0.04633525,8.3,RMR,2.671172843,469,-0.328827157,21.77108078,1.337879989,7.337879989,17.69722814
HS13,0.469,46.99535111,4,-0.046909334,8.3,RMR,2.671172843,469,-0.328827157,22.04081967,1.343227741,7.343227741,17.69722814
HS13,0.469,47.63168247,5,-0.047544501,8.3,RMR,2.671172843,469,-0.328827157,22.33925908,1.349068765,7.349068765,17.69722814
HS13,0.469,48.1850833,6,-0.048096889,8.3,RMR,2.671172843,469,-0.328827157,22.59880407,1.354085457,7.354085457,17.69722814
HS13,0.469,48.91247361,7,-0.048822948,8.3,RMR,2.671172843,469,-0.328827157,22.93995012,1.360592469,7.360592469,17.69722814
HS13,0.469,49.65070747,8,-0.04955983,8.3,RMR,2.671172843,469,-0.328827157,23.2861818,1.367098284,7.367098284,17.69722814
HS13,0.469,50.37965555,9,-0.050287444,8.3,RMR,2.671172843,469,-0.328827157,23.62805845,1.373428037,7.373428037,17.69722814
HS13,0.469,51.08659128,10,-0.050993086,8.3,RMR,2.671172843,469,-0.328827157,23.95961131,1.379479768,7.379479768,17.69722814
HS14,0.893,43.16045461,2,-0.04142461,16.4,RMR,2.950851459,893,-0.049148541,38.54228596,1.585937469,7.585937469,18.36506159
HS14,0.893,43.72650642,3,-0.041967896,16.4,RMR,2.950851459,893,-0.049148541,39.04777023,1.591596239,7.591596239,18.36506159
HS14,0.893,44.52658684,4,-0.042735799,16.4,RMR,2.950851459,893,-0.049148541,39.76224205,1.599470865,7.599470865,18.36506159
HS14,0.893,45.18456909,5,-0.043367318,16.4,RMR,2.950851459,893,-0.049148541,40.3498202,1.605841604,7.605841604,18.36506159
HS14,0.893,45.76749065,6,-0.043926796,16.4,RMR,2.950851459,893,-0.049148541,40.87036915,1.61140856,7.61140856,18.36506159
HS14,0.893,46.30170555,7,-0.044439525,16.4,RMR,2.950851459,893,-0.049148541,41.34742306,1.616448448,7.616448448,18.36506159
HS14,0.893,47.45458189,8,-0.045546035,16.4,RMR,2.950851459,893,-0.049148541,42.37694163,1.62712961,7.62712961,18.36506159
