Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
09-Mar-2021;16:25:44;SWFSC                ;1600184779;NICK                 ;0.00;min;99.903;%a.s.;humid;28.444;deg;14081;uV;19.705;°C;1015.530;mbar;34.5;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.433;deg;19.705;°C;1016;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;36953;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210309;203700;1;6.008;V;
09-Mar-2021;16:25:45;SWFSC                ;1600184779;NICK                 ;0.02;min;100.080;%a.s.;humid;28.426;deg;14081;uV;19.699;°C;1015.530;mbar;34.5;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.433;deg;19.705;°C;1016;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;36924;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210309;203700;1;6.008;V;
09-Mar-2021;16:25:46;SWFSC                ;1600184779;NICK                 ;0.03;min;100.062;%a.s.;humid;28.428;deg;14079;uV;19.699;°C;1015.530;mbar;34.5;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.433;deg;19.705;°C;1016;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;36922;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210309;203700;1;6.008;V;
09-Mar-2021;16:25:47;SWFSC                ;1600184779;NICK                 ;0.05;min;100.070;%a.s.;humid;28.426;deg;14083;uV;19.705;°C;1015.530;mbar;34.5;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.433;deg;19.705;°C;1016;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;36924;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210309;203700;1;6.008;V;
09-Mar-2021;16:25:48;SWFSC                ;1600184779;NICK                 ;0.07;min;100.119;%a.s.;humid;28.423;deg;14082;uV;19.693;°C;1015.530;mbar;34.5;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.433;deg;19.705;°C;1016;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;36921;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210309;203700;1;6.008;V;
09-Mar-2021;16:25:49;SWFSC                ;1600184779;NICK                 ;0.08;min;99.886;%a.s.;humid;28.447;deg;14082;uV;19.699;°C;1015.530;mbar;34.5;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.433;deg;19.705;°C;1016;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;36923;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210309;203700;1;6.008;V;
09-Mar-2021;16:25:50;SWFSC                ;1600184779;NICK                 ;0.10;min;99.811;%a.s.;humid;28.454;deg;14083;uV;19.705;°C;1015.530;mbar;34.5;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.433;deg;19.705;°C;1016;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;36921;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210309;203700;1;6.008;V;
09-Mar-2021;16:25:51;SWFSC                ;1600184779;NICK                 ;0.12;min;99.903;%a.s.;humid;28.444;deg;14082;uV;19.705;°C;1015.530;mbar;34.5;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.433;deg;19.705;°C;1016;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;36919;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210309;203700;1;6.008;V;
09-Mar-2021;16:25:52;SWFSC                ;1600184779;NICK                 ;0.13;min;100.006;%a.s.;humid;28.434;deg;14083;uV;19.699;°C;1015.530;mbar;34.5;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.433;deg;19.705;°C;1016;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;36918;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210309;203700;1;6.008;V;
09-Mar-2021;16:25:53;SWFSC                ;1600184779;NICK                 ;0.15;min;100.034;%a.s.;humid;28.431;deg;14085;uV;19.699;°C;1015.530;mbar;34.5;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.433;deg;19.705;°C;1016;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;36908;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210309;203700;1;6.008;V;
