Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
04-Mar-2021;15:38:46;SWFSC                ;1600184779;NICK                 ;0.00;min;109.551;%a.s.;humid;27.960;deg;13381;uV;18.159;°C;1012.000;mbar;34.8;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.569;deg;20.125;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35488;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210303;203700;1;6.061;V;
04-Mar-2021;15:38:51;SWFSC                ;1600184779;NICK                 ;0.08;min;109.318;%a.s.;humid;27.984;deg;13390;uV;18.153;°C;1012.000;mbar;34.8;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.569;deg;20.125;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35481;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210303;203700;1;6.047;V;
04-Mar-2021;15:38:56;SWFSC                ;1600184779;NICK                 ;0.17;min;109.572;%a.s.;humid;27.958;deg;13388;uV;18.159;°C;1012.000;mbar;34.8;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.569;deg;20.125;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35482;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210303;203700;1;6.045;V;
04-Mar-2021;15:39:01;SWFSC                ;1600184779;NICK                 ;0.25;min;109.256;%a.s.;humid;27.989;deg;13381;uV;18.159;°C;1012.000;mbar;34.8;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.569;deg;20.125;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35475;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210303;203700;1;6.045;V;
04-Mar-2021;15:39:06;SWFSC                ;1600184779;NICK                 ;0.33;min;109.317;%a.s.;humid;27.983;deg;13378;uV;18.159;°C;1012.000;mbar;34.8;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.569;deg;20.125;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35479;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210303;203700;1;6.046;V;
04-Mar-2021;15:39:11;SWFSC                ;1600184779;NICK                 ;0.42;min;109.300;%a.s.;humid;27.987;deg;13381;uV;18.146;°C;1012.000;mbar;34.8;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.569;deg;20.125;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35475;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210303;203700;1;6.046;V;
04-Mar-2021;15:39:16;SWFSC                ;1600184779;NICK                 ;0.50;min;109.551;%a.s.;humid;27.960;deg;13383;uV;18.159;°C;1012.000;mbar;34.8;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.569;deg;20.125;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35478;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210303;203700;1;6.044;V;
04-Mar-2021;15:39:21;SWFSC                ;1600184779;NICK                 ;0.58;min;109.286;%a.s.;humid;27.986;deg;13380;uV;18.159;°C;1012.000;mbar;34.8;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.569;deg;20.125;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35463;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210303;203700;1;6.044;V;
04-Mar-2021;15:39:26;SWFSC                ;1600184779;NICK                 ;0.67;min;109.480;%a.s.;humid;27.967;deg;13379;uV;18.159;°C;1012.000;mbar;34.8;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.569;deg;20.125;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35470;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210303;203700;1;6.044;V;
04-Mar-2021;15:39:31;SWFSC                ;1600184779;NICK                 ;0.75;min;109.611;%a.s.;humid;27.953;deg;13378;uV;18.165;°C;1012.000;mbar;34.8;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.569;deg;20.125;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35468;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;210303;203700;1;6.045;V;
