Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
13-Oct-2020;14:51:12;default              ;1600184779;NICK                 ;0.00;min;104.284;%a.s.;humid;28.330;deg;14425;uV;18.244;°C;1014.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.152;deg;21.588;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35473;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201013;203700;1;6.145;V;
13-Oct-2020;14:51:13;default              ;1600184779;NICK                 ;0.02;min;104.109;%a.s.;humid;28.347;deg;14434;uV;18.250;°C;1014.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.152;deg;21.588;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35441;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201013;203700;1;6.145;V;
13-Oct-2020;14:51:14;default              ;1600184779;NICK                 ;0.03;min;104.216;%a.s.;humid;28.337;deg;14440;uV;18.244;°C;1014.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.152;deg;21.588;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35445;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201013;203700;1;6.145;V;
13-Oct-2020;14:51:15;default              ;1600184779;NICK                 ;0.05;min;104.224;%a.s.;humid;28.335;deg;14440;uV;18.250;°C;1014.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.152;deg;21.588;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35443;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201013;203700;1;6.145;V;
13-Oct-2020;14:51:16;default              ;1600184779;NICK                 ;0.07;min;104.147;%a.s.;humid;28.343;deg;14451;uV;18.250;°C;1014.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.152;deg;21.588;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35444;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201013;203700;1;6.145;V;
13-Oct-2020;14:51:17;default              ;1600184779;NICK                 ;0.08;min;104.178;%a.s.;humid;28.341;deg;14440;uV;18.244;°C;1014.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.152;deg;21.588;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35438;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201013;203700;1;6.145;V;
13-Oct-2020;14:51:18;default              ;1600184779;NICK                 ;0.10;min;104.236;%a.s.;humid;28.335;deg;14445;uV;18.244;°C;1014.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.152;deg;21.588;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35439;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201013;203700;1;6.145;V;
13-Oct-2020;14:51:19;default              ;1600184779;NICK                 ;0.12;min;104.464;%a.s.;humid;28.309;deg;14432;uV;18.256;°C;1014.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.152;deg;21.588;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35428;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201013;203700;1;6.145;V;
13-Oct-2020;14:51:20;default              ;1600184779;NICK                 ;0.13;min;104.292;%a.s.;humid;28.328;deg;14435;uV;18.250;°C;1014.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.152;deg;21.588;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35435;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201013;203700;1;6.145;V;
13-Oct-2020;14:51:21;default              ;1600184779;NICK                 ;0.15;min;103.965;%a.s.;humid;28.362;deg;14442;uV;18.250;°C;1014.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.152;deg;21.588;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35436;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201013;203700;1;6.145;V;
