Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
07-Oct-2020;14:12:48;default              ;1600184779;NICK                 ;0.00;min;103.873;%a.s.;humid;28.485;deg;14164;uV;18.213;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35346;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.042;V;
07-Oct-2020;14:12:49;default              ;1600184779;NICK                 ;0.02;min;103.844;%a.s.;humid;28.488;deg;14165;uV;18.213;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35342;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.040;V;
07-Oct-2020;14:12:50;default              ;1600184779;NICK                 ;0.03;min;103.941;%a.s.;humid;28.479;deg;14163;uV;18.207;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35327;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.039;V;
07-Oct-2020;14:12:51;default              ;1600184779;NICK                 ;0.05;min;103.893;%a.s.;humid;28.484;deg;14167;uV;18.207;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35322;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.040;V;
07-Oct-2020;14:12:52;default              ;1600184779;NICK                 ;0.07;min;103.599;%a.s.;humid;28.516;deg;14172;uV;18.201;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35323;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.040;V;
07-Oct-2020;14:12:53;default              ;1600184779;NICK                 ;0.08;min;103.685;%a.s.;humid;28.507;deg;14166;uV;18.201;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35314;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.040;V;
07-Oct-2020;14:12:54;default              ;1600184779;NICK                 ;0.10;min;103.664;%a.s.;humid;28.508;deg;14176;uV;18.207;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35317;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.038;V;
07-Oct-2020;14:12:55;default              ;1600184779;NICK                 ;0.12;min;103.635;%a.s.;humid;28.511;deg;14173;uV;18.207;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35314;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.039;V;
07-Oct-2020;14:12:56;default              ;1600184779;NICK                 ;0.13;min;103.905;%a.s.;humid;28.484;deg;14167;uV;18.201;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35305;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.039;V;
07-Oct-2020;14:12:57;default              ;1600184779;NICK                 ;0.15;min;103.654;%a.s.;humid;28.509;deg;14167;uV;18.207;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35313;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.040;V;
07-Oct-2020;14:12:58;default              ;1600184779;NICK                 ;0.17;min;103.750;%a.s.;humid;28.499;deg;14169;uV;18.207;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35308;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.039;V;
07-Oct-2020;14:12:59;default              ;1600184779;NICK                 ;0.18;min;103.519;%a.s.;humid;28.522;deg;14175;uV;18.213;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35320;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.038;V;
07-Oct-2020;14:13:00;default              ;1600184779;NICK                 ;0.20;min;103.865;%a.s.;humid;28.487;deg;14178;uV;18.207;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35312;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.039;V;
07-Oct-2020;14:13:01;default              ;1600184779;NICK                 ;0.22;min;103.462;%a.s.;humid;28.528;deg;14178;uV;18.213;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35313;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.038;V;
07-Oct-2020;14:13:02;default              ;1600184779;NICK                 ;0.23;min;103.653;%a.s.;humid;28.508;deg;14175;uV;18.213;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35316;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.038;V;
07-Oct-2020;14:13:03;default              ;1600184779;NICK                 ;0.25;min;103.788;%a.s.;humid;28.495;deg;14179;uV;18.207;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35311;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.037;V;
07-Oct-2020;14:13:05;default              ;1600184779;NICK                 ;0.28;min;103.529;%a.s.;humid;28.521;deg;14183;uV;18.213;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35330;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.038;V;
07-Oct-2020;14:13:06;default              ;1600184779;NICK                 ;0.30;min;103.798;%a.s.;humid;28.494;deg;14182;uV;18.207;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35300;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.039;V;
07-Oct-2020;14:13:07;default              ;1600184779;NICK                 ;0.32;min;103.798;%a.s.;humid;28.494;deg;14182;uV;18.207;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35311;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.038;V;
07-Oct-2020;14:13:08;default              ;1600184779;NICK                 ;0.33;min;103.502;%a.s.;humid;28.525;deg;14181;uV;18.207;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35307;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.038;V;
07-Oct-2020;14:13:09;default              ;1600184779;NICK                 ;0.35;min;103.413;%a.s.;humid;28.532;deg;14185;uV;18.220;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.087;deg;22.429;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35305;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;201006;203700;1;6.038;V;
