Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
29-Sep-2020;15:03:23;default              ;1600184779;NICK                 ;0.00;min;104.171;%a.s.;humid;28.603;deg;15262;uV;18.189;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35227;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:03:28;default              ;1600184779;NICK                 ;0.08;min;104.225;%a.s.;humid;28.595;deg;15273;uV;18.201;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35218;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:03:33;default              ;1600184779;NICK                 ;0.17;min;104.043;%a.s.;humid;28.614;deg;15268;uV;18.201;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35219;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:03:38;default              ;1600184779;NICK                 ;0.25;min;104.045;%a.s.;humid;28.615;deg;15269;uV;18.195;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35215;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:03:43;default              ;1600184779;NICK                 ;0.33;min;104.104;%a.s.;humid;28.610;deg;15275;uV;18.189;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35215;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:03:48;default              ;1600184779;NICK                 ;0.42;min;104.018;%a.s.;humid;28.619;deg;15269;uV;18.189;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35207;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:03:53;default              ;1600184779;NICK                 ;0.50;min;104.222;%a.s.;humid;28.600;deg;15272;uV;18.177;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35210;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:03:58;default              ;1600184779;NICK                 ;0.58;min;104.167;%a.s.;humid;28.607;deg;15269;uV;18.171;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35207;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:04:03;default              ;1600184779;NICK                 ;0.67;min;104.236;%a.s.;humid;28.601;deg;15269;uV;18.165;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35201;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:04:08;default              ;1600184779;NICK                 ;0.75;min;104.027;%a.s.;humid;28.624;deg;15271;uV;18.159;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35207;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:04:13;default              ;1600184779;NICK                 ;0.83;min;104.354;%a.s.;humid;28.591;deg;15268;uV;18.153;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35205;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:04:18;default              ;1600184779;NICK                 ;0.92;min;104.343;%a.s.;humid;28.591;deg;15266;uV;18.159;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35196;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:04:23;default              ;1600184779;NICK                 ;1.00;min;104.374;%a.s.;humid;28.589;deg;15265;uV;18.153;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35193;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:04:28;default              ;1600184779;NICK                 ;1.08;min;104.174;%a.s.;humid;28.611;deg;15265;uV;18.146;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35190;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:04:33;default              ;1600184779;NICK                 ;1.17;min;104.176;%a.s.;humid;28.612;deg;15259;uV;18.140;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35186;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:04:38;default              ;1600184779;NICK                 ;1.25;min;104.347;%a.s.;humid;28.593;deg;15284;uV;18.146;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35184;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:04:43;default              ;1600184779;NICK                 ;1.33;min;104.210;%a.s.;humid;28.606;deg;15225;uV;18.153;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35181;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:04:48;default              ;1600184779;NICK                 ;1.42;min;104.107;%a.s.;humid;28.618;deg;15213;uV;18.146;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35178;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:04:53;default              ;1600184779;NICK                 ;1.50;min;104.341;%a.s.;humid;28.596;deg;15217;uV;18.134;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35174;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:04:58;default              ;1600184779;NICK                 ;1.58;min;104.252;%a.s.;humid;28.604;deg;15219;uV;18.140;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35173;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:05:03;default              ;1600184779;NICK                 ;1.67;min;104.297;%a.s.;humid;28.597;deg;15215;uV;18.153;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35167;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:05:08;default              ;1600184779;NICK                 ;1.75;min;104.416;%a.s.;humid;28.587;deg;15214;uV;18.140;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35168;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:05:13;default              ;1600184779;NICK                 ;1.83;min;104.502;%a.s.;humid;28.578;deg;15208;uV;18.140;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35169;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:05:18;default              ;1600184779;NICK                 ;1.92;min;104.529;%a.s.;humid;28.574;deg;15215;uV;18.146;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35162;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:05:23;default              ;1600184779;NICK                 ;2.00;min;104.224;%a.s.;humid;28.607;deg;15212;uV;18.140;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35161;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:05:28;default              ;1600184779;NICK                 ;2.08;min;104.158;%a.s.;humid;28.615;deg;15213;uV;18.134;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35156;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:05:33;default              ;1600184779;NICK                 ;2.17;min;104.329;%a.s.;humid;28.596;deg;15212;uV;18.140;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35158;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:05:38;default              ;1600184779;NICK                 ;2.25;min;104.416;%a.s.;humid;28.587;deg;15208;uV;18.140;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35154;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:05:43;default              ;1600184779;NICK                 ;2.33;min;104.329;%a.s.;humid;28.596;deg;15211;uV;18.140;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35158;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:05:48;default              ;1600184779;NICK                 ;2.42;min;104.224;%a.s.;humid;28.607;deg;15214;uV;18.140;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35152;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:05:53;default              ;1600184779;NICK                 ;2.50;min;104.300;%a.s.;humid;28.599;deg;15210;uV;18.140;°C;1015.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35150;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:05:57;default              ;1600184779;NICK                 ;2.57;min;104.458;%a.s.;humid;28.604;deg;15204;uV;18.140;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35153;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:05:58;default              ;1600184779;NICK                 ;2.58;min;104.238;%a.s.;humid;28.627;deg;15212;uV;18.140;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35134;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:05:59;default              ;1600184779;NICK                 ;2.60;min;104.339;%a.s.;humid;28.614;deg;15207;uV;18.153;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35133;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:06:00;default              ;1600184779;NICK                 ;2.62;min;104.354;%a.s.;humid;28.616;deg;15210;uV;18.134;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35117;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:06:01;default              ;1600184779;NICK                 ;2.63;min;104.324;%a.s.;humid;28.618;deg;15207;uV;18.140;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35114;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:06:02;default              ;1600184779;NICK                 ;2.65;min;104.572;%a.s.;humid;28.591;deg;15215;uV;18.146;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35117;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:06:03;default              ;1600184779;NICK                 ;2.67;min;104.554;%a.s.;humid;28.594;deg;15209;uV;18.140;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35117;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:06:04;default              ;1600184779;NICK                 ;2.68;min;104.629;%a.s.;humid;28.585;deg;15210;uV;18.146;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35113;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:06:10;default              ;1600184779;NICK                 ;2.78;min;104.199;%a.s.;humid;28.631;deg;15206;uV;18.140;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35145;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:06:11;default              ;1600184779;NICK                 ;2.80;min;104.324;%a.s.;humid;28.618;deg;15210;uV;18.140;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35115;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:06:12;default              ;1600184779;NICK                 ;2.82;min;104.575;%a.s.;humid;28.593;deg;15206;uV;18.134;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35117;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:06:13;default              ;1600184779;NICK                 ;2.83;min;104.574;%a.s.;humid;28.592;deg;15206;uV;18.140;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35113;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
29-Sep-2020;15:06:14;default              ;1600184779;NICK                 ;2.85;min;104.314;%a.s.;humid;28.619;deg;15206;uV;18.140;°C;1013.000;mbar;33.0;pmil;0;59.000;deg;20.000;°C;100.000;%a.s.;28.351;deg;21.917;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35112;SAAA0008000239;     p2.0.1.5 ;PSt3;200915-0;200929;203700;1;6.143;V;
