Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
13-Jun-2019;13:47:06;default              ;1539319713;OXYPROBE             ;0.00;min;106.827;%a.s.;humid;27.794;deg;16185;uV;18.201;°C;1008.930;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;27.872;deg;21.527;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35073;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190612;184100;1;6.002;V;
13-Jun-2019;13:47:07;default              ;1539319713;OXYPROBE             ;0.02;min;106.678;%a.s.;humid;27.808;deg;16177;uV;18.207;°C;1008.930;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;27.872;deg;21.527;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35060;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190612;184100;1;6.001;V;
13-Jun-2019;14:02:16;default              ;1539319713;OXYPROBE             ;15.17;min;107.293;%a.s.;humid;27.748;deg;16359;uV;18.207;°C;1008.770;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;27.872;deg;21.527;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35121;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190612;184100;1;6.008;V;
13-Jun-2019;14:02:17;default              ;1539319713;OXYPROBE             ;15.18;min;107.555;%a.s.;humid;27.723;deg;16351;uV;18.201;°C;1008.760;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;27.872;deg;21.527;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35104;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190612;184100;1;6.009;V;
13-Jun-2019;14:02:18;default              ;1539319713;OXYPROBE             ;15.20;min;107.520;%a.s.;humid;27.726;deg;16355;uV;18.201;°C;1008.810;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;27.872;deg;21.527;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35098;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190612;184100;1;6.007;V;
13-Jun-2019;14:02:19;default              ;1539319713;OXYPROBE             ;15.22;min;107.442;%a.s.;humid;27.733;deg;16353;uV;18.207;°C;1008.780;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;27.872;deg;21.527;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35100;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190612;184100;1;6.007;V;
13-Jun-2019;14:02:20;default              ;1539319713;OXYPROBE             ;15.23;min;107.372;%a.s.;humid;27.740;deg;16354;uV;18.207;°C;1008.780;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;27.872;deg;21.527;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35095;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190612;184100;1;6.006;V;
13-Jun-2019;14:08:28;default              ;1539319713;OXYPROBE             ;21.37;min;107.369;%a.s.;humid;27.741;deg;16342;uV;18.201;°C;1008.810;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;27.872;deg;21.527;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35118;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190612;184100;1;6.007;V;
13-Jun-2019;14:08:29;default              ;1539319713;OXYPROBE             ;21.38;min;107.463;%a.s.;humid;27.731;deg;16336;uV;18.207;°C;1008.770;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;27.872;deg;21.527;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35100;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190612;184100;1;6.007;V;
13-Jun-2019;14:08:30;default              ;1539319713;OXYPROBE             ;21.40;min;107.604;%a.s.;humid;27.719;deg;16344;uV;18.195;°C;1008.780;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;27.872;deg;21.527;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35091;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190612;184100;1;6.004;V;
