***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1230910;
PM number         : 20112620;
Serial number     : S DLA 0002 000078   ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 075;
Ref LED amplitude : 88945;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 24.3 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 59.64 at 017.1∞C amp 089100;
100.00%a.s.phase 2: 28.76 at 019.6∞C amp 040700;
Date   (ddmmyy)   : 210619;
Pressure (mBar)   : 1013;
;
FIRMWARE;
"Code 3.016 (IAP)  : 08/20/04, 09:50:56;"
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
22/06/19;
10:31:56 AM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 10:31:56 AM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/% airsatur.; phase/∞; amp; temp/∞C; ErrorMessage;
22/06/19;   10:31:56;       0.000;  99.147;   29.19;   36572;   18.00; E0;
22/06/19;   10:31:57;       0.016;  99.260;   29.18;   36555;   18.00; E0;
22/06/19;   10:31:58;       0.033;  99.215;   29.18;   36559;   18.00; E0;
22/06/19;   10:31:59;       0.050;  99.327;   29.17;   36555;   18.00; E0;
22/06/19;   10:32:00;       0.067;  99.305;   29.17;   36515;   18.00; E0;
22/06/19;   10:32:02;       0.101;  99.237;   29.18;   36536;   18.00; E0;
22/06/19;   10:32:03;       0.118;  99.305;   29.17;   36554;   18.00; E0;
22/06/19;   10:32:04;       0.134;  99.237;   29.18;   36535;   18.00; E0;
22/06/19;   10:32:05;       0.152;  99.260;   29.18;   36535;   18.00; E0;
22/06/19;   10:32:06;       0.168;  99.237;   29.18;   36535;   18.00; E0;
22/06/19;   10:32:07;       0.185;  99.372;   29.16;   36543;   18.00; E0;
22/06/19;   10:32:08;       0.202;  99.350;   29.17;   36529;   18.00; E0;
22/06/19;   10:32:09;       0.219;  99.395;   29.16;   36523;   18.00; E0;
22/06/19;   10:32:11;       0.236;  99.395;   29.16;   36523;   18.00; E0;
22/06/19;   10:32:11;       0.253;  99.215;   29.18;   36522;   18.00; E0;
22/06/19;   10:32:12;       0.270;  99.282;   29.18;   36518;   18.00; E0;
22/06/19;   10:32:13;       0.287;  99.192;   29.18;   36503;   18.00; E0;
22/06/19;   10:32:14;       0.304;  99.260;   29.18;   36505;   18.00; E0;
22/06/19;   10:32:15;       0.321;  99.282;   29.17;   36529;   18.00; E0;
