***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1230910;
PM number         : 20112620;
Serial number     : S DLA 0002 000078   ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 075;
Ref LED amplitude : 88757;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 24.0 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 59.64 at 017.1∞C amp 089100;
100.00%a.s.phase 2: 28.71 at 019.7∞C amp 041600;
Date   (ddmmyy)   : 230619;
Pressure (mBar)   : 1015;
;
FIRMWARE;
"Code 3.016 (IAP)  : 08/20/04, 09:50:56;"
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
24/06/19;
9:35:59 AM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 9:35:59 AM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/% airsatur.; phase/∞; amp; temp/∞C; ErrorMessage;
24/06/19;   09:35:59;       0.000; 104.246;   28.59;   35491;   18.10; E0;
24/06/19;   09:36:00;       0.017; 104.293;   28.59;   35479;   18.10; E0;
24/06/19;   09:36:01;       0.034; 104.293;   28.59;   35486;   18.10; E0;
24/06/19;   09:36:02;       0.051; 104.365;   28.58;   35474;   18.10; E0;
24/06/19;   09:36:03;       0.068; 104.341;   28.58;   35484;   18.10; E0;
24/06/19;   09:36:04;       0.085; 104.317;   28.58;   35454;   18.10; E0;
24/06/19;   09:36:05;       0.102; 104.389;   28.57;   35462;   18.10; E0;
24/06/19;   09:36:06;       0.119; 104.413;   28.57;   35480;   18.10; E0;
24/06/19;   09:36:07;       0.135; 104.485;   28.56;   35466;   18.10; E0;
24/06/19;   09:36:08;       0.152; 104.557;   28.56;   35480;   18.10; E0;
24/06/19;   09:36:09;       0.169; 104.533;   28.56;   35461;   18.10; E0;
24/06/19;   09:36:10;       0.186; 104.389;   28.57;   35460;   18.10; E0;
24/06/19;   09:36:11;       0.203; 104.365;   28.58;   35467;   18.10; E0;
24/06/19;   09:36:12;       0.220; 104.293;   28.58;   35460;   18.10; E0;
24/06/19;   09:36:13;       0.237; 104.365;   28.58;   35474;   18.10; E0;
24/06/19;   09:36:14;       0.254; 104.461;   28.57;   35454;   18.10; E0;
24/06/19;   09:36:15;       0.271; 104.485;   28.56;   35455;   18.10; E0;
