***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1230910;
PM number         : 20112620;
Serial number     : S DLA 0002 000078   ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 075;
Ref LED amplitude : 87709;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 29.1 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 59.64 at 017.1∞C amp 089100;
100.00%a.s.phase 2: 28.74 at 019.9∞C amp 035800;
Date   (ddmmyy)   : 240619;
Pressure (mBar)   : 1013;
;
FIRMWARE;
"Code 3.016 (IAP)  : 08/20/04, 09:50:56;"
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
25/06/19;
11:59:18 AM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 11:59:18 AM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/% airsatur.; phase/∞; amp; temp/∞C; ErrorMessage;
25/06/19;   11:59:18;       0.000; 105.826;   28.52;   35753;   18.00; E0;
25/06/19;   11:59:19;       0.017; 105.924;   28.51;   35744;   18.00; E0;
25/06/19;   11:59:20;       0.034; 105.973;   28.50;   35755;   18.00; E0;
25/06/19;   11:59:21;       0.051; 106.021;   28.50;   35738;   18.00; E0;
25/06/19;   11:59:22;       0.068; 106.046;   28.50;   35735;   18.00; E0;
25/06/19;   11:59:24;       0.102; 105.948;   28.51;   35761;   18.00; E0;
25/06/19;   11:59:25;       0.119; 105.826;   28.52;   35748;   18.00; E0;
25/06/19;   11:59:26;       0.135; 105.778;   28.53;   35730;   18.00; E0;
25/06/19;   11:59:27;       0.152; 105.802;   28.52;   35743;   18.00; E0;
25/06/19;   11:59:28;       0.169; 105.826;   28.52;   35737;   18.00; E0;
25/06/19;   11:59:29;       0.186; 105.924;   28.51;   35730;   18.00; E0;
25/06/19;   11:59:30;       0.203; 105.948;   28.51;   35724;   18.00; E0;
25/06/19;   11:59:31;       0.220; 105.900;   28.51;   35718;   18.00; E0;
25/06/19;   11:59:32;       0.237; 105.900;   28.51;   35749;   18.00; E0;
25/06/19;   11:59:33;       0.254; 105.900;   28.51;   35717;   18.00; E0;
25/06/19;   11:59:34;       0.271; 105.875;   28.52;   35704;   18.00; E0;
25/06/19;   11:59:35;       0.288; 105.900;   28.51;   35730;   18.00; E0;
25/06/19;   11:59:36;       0.305; 105.851;   28.52;   35698;   18.00; E0;
25/06/19;   11:59:37;       0.322; 105.802;   28.52;   35703;   18.00; E0;
25/06/19;   11:59:38;       0.339; 105.826;   28.52;   35699;   18.00; E0;
25/06/19;   11:59:39;       0.355; 105.826;   28.52;   35698;   18.00; E0;
25/06/19;   11:59:40;       0.373; 105.851;   28.52;   35710;   18.00; E0;
25/06/19;   11:59:41;       0.389; 105.973;   28.51;   35706;   18.00; E0;
25/06/19;   11:59:42;       0.406; 105.924;   28.51;   35691;   18.00; E0;
25/06/19;   11:59:43;       0.423; 105.973;   28.50;   35692;   18.00; E0;
25/06/19;   11:59:44;       0.440; 105.997;   28.50;   35699;   18.00; E0;
25/06/19;   11:59:45;       0.457; 105.973;   28.50;   35698;   18.00; E0;
25/06/19;   11:59:46;       0.474; 105.997;   28.50;   35698;   18.00; E0;
25/06/19;   11:59:47;       0.491; 105.973;   28.50;   35686;   18.00; E0;
25/06/19;   11:59:48;       0.508; 105.948;   28.51;   35678;   18.00; E0;
25/06/19;   11:59:49;       0.525; 105.802;   28.52;   35678;   18.00; E0;
25/06/19;   11:59:50;       0.542; 105.826;   28.52;   35692;   18.00; E0;
25/06/19;   11:59:51;       0.559; 105.778;   28.52;   35666;   18.00; E0;
25/06/19;   11:59:52;       0.576; 105.753;   28.53;   35671;   18.00; E0;
25/06/19;   11:59:53;       0.593; 105.802;   28.52;   35665;   18.00; E0;
25/06/19;   11:59:54;       0.609; 105.753;   28.53;   35659;   18.00; E0;
25/06/19;   11:59:55;       0.626; 105.753;   28.53;   35659;   18.00; E0;
25/06/19;   11:59:56;       0.643; 105.826;   28.52;   35666;   18.00; E0;
25/06/19;   11:59:57;       0.660; 105.802;   28.52;   35653;   18.00; E0;
25/06/19;   11:59:58;       0.677; 105.778;   28.52;   35659;   18.00; E0;
25/06/19;   11:59:59;       0.694; 105.778;   28.52;   35653;   18.00; E0;
25/06/19;   12:00:00;       0.711; 105.729;   28.53;   35635;   18.00; E0;
25/06/19;   12:00:01;       0.728; 105.729;   28.53;   35640;   18.00; E0;
25/06/19;   12:00:02;       0.745; 105.851;   28.52;   35643;   18.00; E0;
25/06/19;   12:00:03;       0.762; 105.851;   28.52;   35648;   18.00; E0;
25/06/19;   12:00:04;       0.779; 105.875;   28.51;   35628;   18.00; E0;
25/06/19;   12:00:05;       0.796; 105.875;   28.51;   35614;   18.00; E0;
25/06/19;   12:00:06;       0.813; 105.851;   28.52;   35616;   18.00; E0;
25/06/19;   12:00:07;       0.829; 105.924;   28.51;   35618;   18.00; E0;
25/06/19;   12:00:08;       0.847; 105.900;   28.51;   35614;   18.00; E0;
25/06/19;   12:00:09;       0.863; 105.997;   28.50;   35604;   18.00; E0;
25/06/19;   12:00:10;       0.880; 105.948;   28.51;   35602;   18.00; E0;
25/06/19;   12:00:11;       0.897; 105.826;   28.52;   35614;   18.00; E0;
25/06/19;   12:00:12;       0.914; 105.705;   28.53;   35613;   18.00; E0;
25/06/19;   12:00:13;       0.931; 105.681;   28.53;   35603;   18.00; E0;
25/06/19;   12:00:14;       0.948; 105.656;   28.54;   35602;   18.00; E0;
25/06/19;   12:00:15;       0.965; 105.753;   28.53;   35602;   18.00; E0;
25/06/19;   12:00:16;       0.982; 105.875;   28.52;   35584;   18.00; E0;
25/06/19;   12:00:18;       0.999; 105.875;   28.52;   35571;   18.00; E0;
25/06/19;   12:00:19;       1.016; 105.875;   28.52;   35570;   18.00; E0;
25/06/19;   12:00:20;       1.033; 105.802;   28.52;   35571;   18.00; E0;
25/06/19;   12:00:21;       1.050; 105.778;   28.53;   35558;   18.00; E0;
25/06/19;   12:00:22;       1.067; 105.802;   28.52;   35564;   18.00; E0;
25/06/19;   12:00:23;       1.083; 105.924;   28.51;   35579;   18.00; E0;
25/06/19;   12:00:24;       1.100; 105.851;   28.52;   35582;   18.00; E0;
25/06/19;   12:00:25;       1.117; 105.997;   28.50;   35560;   18.00; E0;
25/06/19;   12:00:26;       1.134; 105.900;   28.51;   35564;   18.00; E0;
25/06/19;   12:00:28;       1.168; 105.802;   28.52;   35539;   18.00; E0;
25/06/19;   12:00:29;       1.185; 105.924;   28.51;   35528;   18.00; E0;
25/06/19;   12:00:30;       1.202; 105.826;   28.52;   35540;   18.00; E0;
25/06/19;   12:00:31;       1.219; 105.875;   28.52;   35533;   18.00; E0;
25/06/19;   12:00:32;       1.236; 105.826;   28.52;   35526;   18.00; E0;
25/06/19;   12:00:33;       1.253; 105.802;   28.52;   35520;   18.00; E0;
25/06/19;   12:00:34;       1.270; 105.778;   28.52;   35508;   18.00; E0;
25/06/19;   12:00:35;       1.287; 105.802;   28.52;   35502;   18.00; E0;
25/06/19;   12:00:36;       1.303; 105.681;   28.54;   35498;   18.00; E0;
25/06/19;   12:00:37;       1.321; 105.729;   28.53;   35478;   18.00; E0;
25/06/19;   12:00:38;       1.337; 105.729;   28.53;   35488;   18.00; E0;
25/06/19;   12:00:39;       1.354; 105.705;   28.53;   35476;   18.00; E0;
25/06/19;   12:00:41;       1.388; 105.875;   28.52;   35483;   18.00; E0;
25/06/19;   12:00:42;       1.405; 105.656;   28.54;   35473;   18.00; E0;
25/06/19;   12:00:43;       1.422; 105.632;   28.54;   35481;   18.00; E0;
25/06/19;   12:00:44;       1.439; 105.681;   28.54;   35458;   18.00; E0;
25/06/19;   12:00:45;       1.456; 105.632;   28.54;   35469;   18.00; E0;
25/06/19;   12:00:46;       1.473; 105.826;   28.52;   35463;   18.00; E0;
25/06/19;   12:00:47;       1.490; 105.900;   28.51;   35445;   18.00; E0;
25/06/19;   12:00:48;       1.507; 105.875;   28.52;   35471;   18.00; E0;
25/06/19;   12:00:49;       1.524; 105.900;   28.51;   35457;   18.00; E0;
25/06/19;   12:00:50;       1.541; 105.753;   28.53;   35468;   18.00; E0;
25/06/19;   12:00:51;       1.557; 105.705;   28.53;   35446;   18.00; E0;
25/06/19;   12:00:52;       1.574; 105.681;   28.53;   35413;   18.00; E0;
25/06/19;   12:00:53;       1.592; 105.802;   28.52;   35440;   18.00; E0;
25/06/19;   12:00:54;       1.608; 105.997;   28.50;   35420;   18.00; E0;
25/06/19;   12:00:55;       1.625; 105.997;   28.50;   35413;   18.00; E0;
25/06/19;   12:00:56;       1.642; 105.973;   28.50;   35412;   18.00; E0;
25/06/19;   12:00:57;       1.659; 105.948;   28.51;   35421;   18.00; E0;
25/06/19;   12:00:58;       1.676; 105.802;   28.52;   35412;   18.00; E0;
25/06/19;   12:00:59;       1.693; 105.705;   28.53;   35429;   18.00; E0;
25/06/19;   12:01:00;       1.710; 105.632;   28.54;   35454;   18.00; E0;
25/06/19;   12:01:01;       1.727; 105.583;   28.54;   35426;   18.00; E0;
25/06/19;   12:01:02;       1.744; 105.559;   28.55;   35423;   18.00; E0;
25/06/19;   12:01:03;       1.761; 105.535;   28.55;   35416;   18.00; E0;
25/06/19;   12:01:05;       1.795; 105.535;   28.55;   35442;   18.00; E0;
25/06/19;   12:01:06;       1.812; 105.438;   28.56;   35417;   18.00; E0;
25/06/19;   12:01:07;       1.828; 105.365;   28.57;   35428;   18.00; E0;
25/06/19;   12:01:08;       1.845; 105.414;   28.56;   35436;   18.00; E0;
25/06/19;   12:01:09;       1.862; 105.317;   28.57;   35434;   18.00; E0;
25/06/19;   12:01:10;       1.879; 105.244;   28.58;   35429;   18.00; E0;
25/06/19;   12:01:11;       1.896; 105.268;   28.58;   35447;   18.00; E0;
25/06/19;   12:01:12;       1.913; 105.172;   28.59;   35447;   18.00; E0;
25/06/19;   12:01:13;       1.930; 105.123;   28.59;   35482;   18.00; E0;
25/06/19;   12:01:14;       1.947; 105.051;   28.60;   35470;   18.00; E0;
25/06/19;   12:01:15;       1.964; 104.931;   28.61;   35501;   18.00; E0;
25/06/19;   12:01:16;       1.981; 104.906;   28.61;   35502;   18.00; E0;
25/06/19;   12:01:17;       1.998; 104.858;   28.62;   35506;   18.00; E0;
25/06/19;   12:01:18;       2.015; 104.762;   28.63;   35532;   18.00; E0;
