***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1230910;
PM number         : 20112620;
Serial number     : S DLA 0002 000078   ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 075;
Ref LED amplitude : 89416;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 23.5 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 59.64 at 017.1∞C amp 089100;
100.00%a.s.phase 2: 28.83 at 019.3∞C amp 039300;
Date   (ddmmyy)   : 250619;
Pressure (mBar)   : 1012;
;
FIRMWARE;
"Code 3.016 (IAP)  : 08/20/04, 09:50:56;"
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
26/06/19;
12:45:48 PM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 12:45:48 PM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/% airsatur.; phase/∞; amp; temp/∞C; ErrorMessage;
26/06/19;   12:45:48;       0.000; 105.774;   28.49;   35908;   18.00; E0;
26/06/19;   12:45:49;       0.017; 105.774;   28.49;   35882;   18.00; E0;
26/06/19;   12:45:50;       0.034; 105.774;   28.49;   35890;   18.00; E0;
26/06/19;   12:45:51;       0.051; 105.798;   28.49;   35903;   18.00; E0;
26/06/19;   12:45:52;       0.068; 105.798;   28.49;   35871;   18.00; E0;
26/06/19;   12:45:53;       0.084; 105.774;   28.49;   35864;   18.00; E0;
26/06/19;   12:45:54;       0.102; 105.798;   28.49;   35858;   18.00; E0;
26/06/19;   12:45:55;       0.118; 105.823;   28.48;   35865;   18.00; E0;
26/06/19;   12:45:56;       0.135; 105.798;   28.49;   35870;   18.00; E0;
26/06/19;   12:45:57;       0.152; 105.896;   28.48;   35884;   18.00; E0;
26/06/19;   12:45:58;       0.169; 105.823;   28.48;   35877;   18.00; E0;
26/06/19;   12:45:59;       0.186; 105.652;   28.50;   35870;   18.00; E0;
26/06/19;   12:46:00;       0.203; 105.579;   28.51;   35839;   18.00; E0;
26/06/19;   12:46:01;       0.220; 105.555;   28.51;   35846;   18.00; E0;
26/06/19;   12:46:02;       0.237; 105.628;   28.51;   35846;   18.00; E0;
26/06/19;   12:46:03;       0.254; 105.798;   28.49;   35859;   18.00; E0;
26/06/19;   12:46:04;       0.271; 105.823;   28.48;   35844;   18.00; E0;
26/06/19;   12:46:05;       0.288; 105.750;   28.49;   35838;   18.00; E0;
26/06/19;   12:46:06;       0.305; 105.725;   28.49;   35852;   18.00; E0;
26/06/19;   12:46:07;       0.322; 105.628;   28.50;   35826;   18.00; E0;
26/06/19;   12:46:08;       0.339; 105.652;   28.50;   35858;   18.00; E0;
26/06/19;   12:46:09;       0.355; 105.677;   28.50;   35821;   18.00; E0;
26/06/19;   12:46:10;       0.373; 105.604;   28.51;   35839;   18.00; E0;
26/06/19;   12:46:11;       0.389; 105.652;   28.50;   35839;   18.00; E0;
26/06/19;   12:46:12;       0.406; 105.725;   28.49;   35820;   18.00; E0;
26/06/19;   12:46:13;       0.423; 105.677;   28.50;   35814;   18.00; E0;
26/06/19;   12:46:14;       0.440; 105.750;   28.49;   35833;   18.00; E0;
26/06/19;   12:46:15;       0.457; 105.725;   28.50;   35814;   18.00; E0;
26/06/19;   12:46:16;       0.474; 105.774;   28.49;   35834;   18.00; E0;
26/06/19;   12:46:17;       0.491; 105.823;   28.48;   35827;   18.00; E0;
26/06/19;   12:46:18;       0.508; 105.798;   28.49;   35807;   18.00; E0;
26/06/19;   12:46:19;       0.525; 105.774;   28.49;   35814;   18.00; E0;
26/06/19;   12:46:20;       0.542; 105.798;   28.49;   35791;   18.00; E0;
26/06/19;   12:46:22;       0.576; 105.798;   28.49;   35789;   18.00; E0;
26/06/19;   12:46:23;       0.593; 105.701;   28.50;   35788;   18.00; E0;
26/06/19;   12:46:24;       0.609; 105.628;   28.50;   35781;   18.00; E0;
26/06/19;   12:46:25;       0.626; 105.531;   28.52;   35777;   18.00; E0;
26/06/19;   12:46:26;       0.643; 105.531;   28.52;   35789;   18.00; E0;
26/06/19;   12:46:27;       0.660; 105.725;   28.49;   35783;   18.00; E0;
26/06/19;   12:46:28;       0.677; 105.871;   28.48;   35764;   18.00; E0;
26/06/19;   12:46:29;       0.694; 105.896;   28.48;   35776;   18.00; E0;
26/06/19;   12:46:30;       0.711; 105.823;   28.49;   35769;   18.00; E0;
26/06/19;   12:46:31;       0.728; 105.725;   28.50;   35776;   18.00; E0;
26/06/19;   12:46:33;       0.762; 105.628;   28.50;   35757;   18.00; E0;
26/06/19;   12:46:34;       0.779; 105.701;   28.50;   35752;   18.00; E0;
26/06/19;   12:46:35;       0.796; 105.774;   28.49;   35770;   18.00; E0;
26/06/19;   12:46:36;       0.813; 105.823;   28.48;   35733;   18.00; E0;
26/06/19;   12:46:37;       0.829; 105.944;   28.47;   35739;   18.00; E0;
26/06/19;   12:46:38;       0.847; 105.871;   28.48;   35745;   18.00; E0;
26/06/19;   12:46:39;       0.863; 105.920;   28.48;   35726;   18.00; E0;
26/06/19;   12:46:40;       0.880; 105.896;   28.48;   35745;   18.00; E0;
26/06/19;   12:46:41;       0.897; 105.798;   28.49;   35713;   18.00; E0;
26/06/19;   12:46:42;       0.914; 105.774;   28.49;   35725;   18.00; E0;
26/06/19;   12:46:44;       0.948; 105.701;   28.50;   35738;   18.00; E0;
26/06/19;   12:46:45;       0.965; 105.701;   28.50;   35701;   18.00; E0;
26/06/19;   12:46:46;       0.982; 105.677;   28.50;   35706;   18.00; E0;
26/06/19;   12:46:48;       0.999; 105.652;   28.50;   35707;   18.00; E0;
26/06/19;   12:46:49;       1.016; 105.701;   28.50;   35707;   18.00; E0;
26/06/19;   12:46:50;       1.033; 105.701;   28.50;   35682;   18.00; E0;
26/06/19;   12:46:51;       1.050; 105.701;   28.50;   35675;   18.00; E0;
26/06/19;   12:46:52;       1.067; 105.701;   28.50;   35669;   18.00; E0;
26/06/19;   12:46:53;       1.083; 105.701;   28.50;   35657;   18.00; E0;
26/06/19;   12:46:54;       1.100; 105.628;   28.50;   35662;   18.00; E0;
26/06/19;   12:46:56;       1.134; 105.628;   28.50;   35650;   18.00; E0;
26/06/19;   12:46:57;       1.151; 105.555;   28.51;   35680;   18.00; E0;
26/06/19;   12:46:58;       1.168; 105.434;   28.52;   35643;   18.00; E0;
26/06/19;   12:46:59;       1.185; 105.434;   28.52;   35624;   18.00; E0;
26/06/19;   12:47:00;       1.202; 105.458;   28.52;   35644;   18.00; E0;
26/06/19;   12:47:01;       1.219; 105.579;   28.51;   35619;   18.00; E0;
26/06/19;   12:47:02;       1.236; 105.652;   28.50;   35600;   18.00; E0;
26/06/19;   12:47:03;       1.253; 105.725;   28.50;   35625;   18.00; E0;
26/06/19;   12:47:04;       1.270; 105.652;   28.50;   35642;   18.00; E0;
26/06/19;   12:47:05;       1.287; 105.677;   28.50;   35619;   18.00; E0;
26/06/19;   12:47:06;       1.303; 105.677;   28.50;   35613;   18.00; E0;
26/06/19;   12:47:07;       1.321; 105.652;   28.50;   35618;   18.00; E0;
26/06/19;   12:47:08;       1.337; 105.701;   28.50;   35618;   18.00; E0;
26/06/19;   12:47:09;       1.354; 105.652;   28.50;   35606;   18.00; E0;
26/06/19;   12:47:10;       1.371; 105.555;   28.51;   35592;   18.00; E0;
26/06/19;   12:47:11;       1.388; 105.604;   28.51;   35606;   18.00; E0;
26/06/19;   12:47:12;       1.405; 105.628;   28.51;   35599;   18.00; E0;
26/06/19;   12:47:13;       1.422; 105.531;   28.52;   35593;   18.00; E0;
26/06/19;   12:47:14;       1.439; 105.628;   28.51;   35606;   18.00; E0;
26/06/19;   12:47:15;       1.456; 105.555;   28.51;   35605;   18.00; E0;
26/06/19;   12:47:16;       1.473; 105.531;   28.52;   35586;   18.00; E0;
26/06/19;   12:47:17;       1.490; 105.507;   28.52;   35554;   18.00; E0;
26/06/19;   12:47:18;       1.507; 105.458;   28.52;   35536;   18.00; E0;
26/06/19;   12:47:19;       1.524; 105.434;   28.52;   35504;   18.00; E0;
26/06/19;   12:47:20;       1.540; 105.604;   28.51;   35500;   18.00; E0;
26/06/19;   12:47:21;       1.558; 105.628;   28.50;   35523;   18.00; E0;
26/06/19;   12:47:22;       1.574; 105.628;   28.50;   35517;   18.00; E0;
26/06/19;   12:47:23;       1.591; 105.652;   28.50;   35511;   18.00; E0;
26/06/19;   12:47:24;       1.608; 105.579;   28.51;   35493;   18.00; E0;
26/06/19;   12:47:25;       1.625; 105.604;   28.51;   35536;   18.00; E0;
26/06/19;   12:47:26;       1.642; 105.628;   28.51;   35530;   18.00; E0;
26/06/19;   12:47:27;       1.659; 105.604;   28.51;   35517;   18.00; E0;
26/06/19;   12:47:28;       1.676; 105.531;   28.52;   35530;   18.00; E0;
26/06/19;   12:47:29;       1.693; 105.482;   28.52;   35523;   18.00; E0;
26/06/19;   12:47:30;       1.710; 105.385;   28.53;   35522;   18.00; E0;
26/06/19;   12:47:31;       1.727; 105.385;   28.53;   35511;   18.00; E0;
26/06/19;   12:47:32;       1.744; 105.385;   28.53;   35504;   18.00; E0;
26/06/19;   12:47:33;       1.761; 105.434;   28.53;   35523;   18.00; E0;
26/06/19;   12:47:34;       1.778; 105.434;   28.53;   35510;   18.00; E0;
26/06/19;   12:47:35;       1.795; 105.410;   28.53;   35504;   18.00; E0;
26/06/19;   12:47:36;       1.811; 105.240;   28.54;   35496;   18.00; E0;
26/06/19;   12:47:37;       1.828; 105.216;   28.55;   35466;   18.00; E0;
26/06/19;   12:47:38;       1.845; 105.192;   28.55;   35516;   18.00; E0;
26/06/19;   12:47:39;       1.862; 105.216;   28.55;   35542;   18.00; E0;
26/06/19;   12:47:40;       1.879; 105.216;   28.55;   35534;   18.00; E0;
26/06/19;   12:47:42;       1.913; 105.095;   28.56;   35534;   18.00; E0;
26/06/19;   12:47:43;       1.930; 105.023;   28.57;   35552;   18.00; E0;
26/06/19;   12:47:44;       1.947; 104.878;   28.58;   35559;   18.00; E0;
26/06/19;   12:47:45;       1.964; 104.902;   28.58;   35553;   18.00; E0;
26/06/19;   12:47:46;       1.981; 104.854;   28.59;   35558;   18.00; E0;
26/06/19;   12:47:47;       1.998; 104.757;   28.59;   35571;   18.00; E0;
26/06/19;   12:47:48;       2.014; 104.613;   28.61;   35570;   18.00; E0;
26/06/19;   12:47:49;       2.032; 104.517;   28.62;   35583;   18.00; E0;
26/06/19;   12:47:50;       2.048; 104.445;   28.63;   35589;   18.00; E0;
26/06/19;   12:47:52;       2.065; 104.541;   28.62;   35603;   18.00; E0;
