***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1230910;
PM number         : 20112620;
Serial number     : S DLA 0002 000078   ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 075;
Ref LED amplitude : 88595;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 24.1 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 59.64 at 017.1∞C amp 089100;
100.00%a.s.phase 2: 28.81 at 019.2∞C amp 044000;
Date   (ddmmyy)   : 290619;
Pressure (mBar)   : 1015;
;
FIRMWARE;
"Code 3.016 (IAP)  : 08/20/04, 09:50:56;"
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
30/06/19;
12:55:57 PM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   4;
measure mode;  1 sec ;

start time; 12:55:57 PM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/% airsatur.; phase/∞; amp; temp/∞C; ErrorMessage;
30/06/19;   12:55:57;       0.000; 100.071;   29.16;   39693;   17.50; E0;
30/06/19;   12:55:57;       0.016;  99.935;   29.17;   39653;   17.50; E0;
30/06/19;   12:55:58;       0.033;  99.889;   29.18;   39642;   17.50; E0;
30/06/19;   12:55:59;       0.050;  99.867;   29.18;   39643;   17.50; E0;
30/06/19;   12:56:01;       0.067;  99.753;   29.20;   39654;   17.50; E0;
30/06/19;   12:56:02;       0.083;  99.844;   29.19;   39630;   17.50; E0;
30/06/19;   12:56:03;       0.101;  99.821;   29.19;   39642;   17.50; E0;
30/06/19;   12:56:04;       0.118;  99.889;   29.18;   39644;   17.50; E0;
30/06/19;   12:56:05;       0.134;  99.935;   29.17;   39649;   17.50; E0;
30/06/19;   12:56:06;       0.151;  99.935;   29.17;   39655;   17.50; E0;
30/06/19;   12:56:07;       0.168;  99.912;   29.18;   39611;   17.50; E0;
30/06/19;   12:56:08;       0.185;  99.889;   29.18;   39644;   17.50; E0;
30/06/19;   12:56:09;       0.202;  99.912;   29.18;   39630;   17.50; E0;
30/06/19;   12:56:10;       0.219;  99.935;   29.18;   39649;   17.50; E0;
30/06/19;   12:56:11;       0.236;  99.957;   29.17;   39643;   17.50; E0;
30/06/19;   12:56:12;       0.253;  99.912;   29.18;   39631;   17.50; E0;
30/06/19;   12:56:13;       0.270;  99.889;   29.18;   39605;   17.50; E0;
30/06/19;   12:56:14;       0.287;  99.867;   29.18;   39623;   17.50; E0;
30/06/19;   12:56:15;       0.304;  99.980;   29.17;   39613;   17.50; E0;
30/06/19;   12:56:16;       0.321;  99.889;   29.18;   39610;   17.50; E0;
30/06/19;   12:56:17;       0.337;  99.867;   29.18;   39617;   17.50; E0;
30/06/19;   12:56:18;       0.355;  99.753;   29.20;   39616;   17.50; E0;
30/06/19;   12:56:19;       0.371;  99.663;   29.20;   39630;   17.50; E0;
30/06/19;   12:56:20;       0.388;  99.685;   29.20;   39605;   17.50; E0;
30/06/19;   12:56:21;       0.405;  99.799;   29.19;   39631;   17.50; E0;
30/06/19;   12:56:22;       0.422;  99.889;   29.18;   39612;   17.50; E0;
30/06/19;   12:56:23;       0.439;  99.957;   29.17;   39612;   17.50; E0;
30/06/19;   12:56:24;       0.456; 100.003;   29.17;   39592;   17.50; E0;
30/06/19;   12:56:25;       0.473;  99.912;   29.18;   39598;   17.50; E0;
30/06/19;   12:56:26;       0.490;  99.935;   29.18;   39599;   17.50; E0;
30/06/19;   12:56:27;       0.507;  99.821;   29.19;   39598;   17.50; E0;
30/06/19;   12:56:28;       0.524;  99.821;   29.19;   39592;   17.50; E0;
30/06/19;   12:56:29;       0.541;  99.753;   29.20;   39597;   17.50; E0;
30/06/19;   12:56:30;       0.557;  99.753;   29.20;   39580;   17.50; E0;
30/06/19;   12:56:31;       0.575;  99.776;   29.19;   39580;   17.50; E0;
30/06/19;   12:56:32;       0.592;  99.776;   29.19;   39585;   17.50; E0;
30/06/19;   12:56:33;       0.608;  99.821;   29.19;   39598;   17.50; E0;
30/06/19;   12:56:34;       0.626;  99.799;   29.19;   39566;   17.50; E0;
30/06/19;   12:56:35;       0.642;  99.821;   29.19;   39553;   17.50; E0;
30/06/19;   12:56:36;       0.659;  99.776;   29.19;   39573;   17.50; E0;
30/06/19;   12:56:37;       0.676;  99.912;   29.18;   39569;   17.50; E0;
30/06/19;   12:56:38;       0.693;  99.889;   29.18;   39554;   17.50; E0;
30/06/19;   12:56:39;       0.710;  99.935;   29.18;   39549;   17.50; E0;
30/06/19;   12:56:40;       0.727; 100.025;   29.16;   39530;   17.50; E0;
30/06/19;   12:56:41;       0.744;  99.957;   29.17;   39536;   17.50; E0;
30/06/19;   12:56:42;       0.761; 100.094;   29.16;   39537;   17.50; E0;
30/06/19;   12:56:43;       0.778; 100.003;   29.17;   39541;   17.50; E0;
30/06/19;   12:56:44;       0.795; 100.003;   29.17;   39517;   17.50; E0;
30/06/19;   12:56:45;       0.812;  99.912;   29.18;   39528;   17.50; E0;
30/06/19;   12:56:46;       0.829;  99.821;   29.19;   39510;   17.50; E0;
30/06/19;   12:56:47;       0.846;  99.844;   29.19;   39529;   17.50; E0;
30/06/19;   12:56:48;       0.862;  99.844;   29.19;   39523;   17.50; E0;
30/06/19;   12:56:49;       0.879;  99.957;   29.17;   39505;   17.50; E0;
30/06/19;   12:56:50;       0.896;  99.889;   29.18;   39535;   17.50; E0;
30/06/19;   12:56:51;       0.913;  99.957;   29.17;   39517;   17.50; E0;
30/06/19;   12:56:52;       0.930;  99.957;   29.17;   39511;   17.50; E0;
30/06/19;   12:56:53;       0.947;  99.935;   29.17;   39504;   17.50; E0;
30/06/19;   12:56:54;       0.964; 100.025;   29.16;   39478;   17.50; E0;
30/06/19;   12:56:55;       0.981; 100.048;   29.16;   39493;   17.50; E0;
30/06/19;   12:56:56;       0.998; 100.094;   29.16;   39499;   17.50; E0;
30/06/19;   12:56:57;       1.015; 100.162;   29.15;   39461;   17.50; E0;
30/06/19;   12:56:58;       1.032; 100.071;   29.16;   39472;   17.50; E0;
30/06/19;   12:56:59;       1.049; 100.003;   29.17;   39466;   17.50; E0;
30/06/19;   12:57:00;       1.066;  99.912;   29.18;   39478;   17.50; E0;
30/06/19;   12:57:01;       1.082;  99.799;   29.19;   39465;   17.50; E0;
