Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
17-Jun-2019;18:00:05;default              ;1539319713;OXYPROBE             ;0.00;min;108.889;%a.s.;humid;28.225;deg;15967;uV;18.299;°C;1006.310;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.543;deg;21.301;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35776;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190617;184100;1;6.055;V;
17-Jun-2019;18:00:06;default              ;1539319713;OXYPROBE             ;0.02;min;108.864;%a.s.;humid;28.227;deg;15961;uV;18.299;°C;1006.350;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.543;deg;21.301;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35766;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190617;184100;1;6.053;V;
17-Jun-2019;18:00:07;default              ;1539319713;OXYPROBE             ;0.03;min;108.849;%a.s.;humid;28.230;deg;15959;uV;18.293;°C;1006.310;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.543;deg;21.301;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35755;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190617;184100;1;6.052;V;
17-Jun-2019;18:00:08;default              ;1539319713;OXYPROBE             ;0.05;min;108.932;%a.s.;humid;28.219;deg;15963;uV;18.305;°C;1006.360;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.543;deg;21.301;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35756;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190617;184100;1;6.051;V;
17-Jun-2019;18:00:09;default              ;1539319713;OXYPROBE             ;0.07;min;108.927;%a.s.;humid;28.221;deg;15962;uV;18.299;°C;1006.330;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.543;deg;21.301;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35749;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190617;184100;1;6.052;V;
17-Jun-2019;18:00:10;default              ;1539319713;OXYPROBE             ;0.08;min;109.010;%a.s.;humid;28.213;deg;15960;uV;18.299;°C;1006.300;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.543;deg;21.301;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35750;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190617;184100;1;6.053;V;
17-Jun-2019;18:00:11;default              ;1539319713;OXYPROBE             ;0.10;min;108.968;%a.s.;humid;28.216;deg;15956;uV;18.305;°C;1006.310;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.543;deg;21.301;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35751;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190617;184100;1;6.052;V;
17-Jun-2019;18:00:12;default              ;1539319713;OXYPROBE             ;0.12;min;108.796;%a.s.;humid;28.233;deg;15957;uV;18.305;°C;1006.320;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.543;deg;21.301;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35749;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190617;184100;1;6.051;V;
17-Jun-2019;18:00:13;default              ;1539319713;OXYPROBE             ;0.13;min;108.909;%a.s.;humid;28.223;deg;15959;uV;18.299;°C;1006.310;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.543;deg;21.301;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35745;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190617;184100;1;6.052;V;
17-Jun-2019;18:00:14;default              ;1539319713;OXYPROBE             ;0.15;min;108.942;%a.s.;humid;28.221;deg;15957;uV;18.293;°C;1006.290;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.543;deg;21.301;°C;1012;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35742;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190617;184100;1;6.051;V;
