Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
27-Jun-2019;17:21:18;default              ;1539319713;OXYPROBE             ;0.00;min;104.121;%a.s.;humid;28.080;deg;15587;uV;18.220;°C;1009.280;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35616;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.088;V;
27-Jun-2019;17:21:19;default              ;1539319713;OXYPROBE             ;0.02;min;104.114;%a.s.;humid;28.079;deg;15589;uV;18.226;°C;1009.340;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35592;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.086;V;
27-Jun-2019;17:21:20;default              ;1539319713;OXYPROBE             ;0.03;min;104.330;%a.s.;humid;28.057;deg;15585;uV;18.226;°C;1009.300;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35587;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.089;V;
27-Jun-2019;17:21:21;default              ;1539319713;OXYPROBE             ;0.05;min;104.332;%a.s.;humid;28.057;deg;15590;uV;18.226;°C;1009.280;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35584;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.088;V;
27-Jun-2019;17:21:22;default              ;1539319713;OXYPROBE             ;0.07;min;104.091;%a.s.;humid;28.082;deg;15590;uV;18.226;°C;1009.280;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35581;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.087;V;
27-Jun-2019;17:21:23;default              ;1539319713;OXYPROBE             ;0.08;min;104.211;%a.s.;humid;28.071;deg;15589;uV;18.220;°C;1009.250;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35579;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.087;V;
27-Jun-2019;17:21:24;default              ;1539319713;OXYPROBE             ;0.10;min;104.351;%a.s.;humid;28.056;deg;15593;uV;18.220;°C;1009.290;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35581;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.085;V;
27-Jun-2019;17:21:25;default              ;1539319713;OXYPROBE             ;0.12;min;104.122;%a.s.;humid;28.080;deg;15596;uV;18.220;°C;1009.270;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35585;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.086;V;
27-Jun-2019;17:21:26;default              ;1539319713;OXYPROBE             ;0.13;min;104.226;%a.s.;humid;28.069;deg;15594;uV;18.220;°C;1009.290;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35585;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.086;V;
27-Jun-2019;17:21:27;default              ;1539319713;OXYPROBE             ;0.15;min;104.165;%a.s.;humid;28.075;deg;15594;uV;18.220;°C;1009.320;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35580;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.086;V;
27-Jun-2019;17:21:28;default              ;1539319713;OXYPROBE             ;0.17;min;104.260;%a.s.;humid;28.065;deg;15599;uV;18.220;°C;1009.330;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35579;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.087;V;
27-Jun-2019;17:21:29;default              ;1539319713;OXYPROBE             ;0.18;min;104.145;%a.s.;humid;28.076;deg;15588;uV;18.226;°C;1009.320;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35574;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.087;V;
27-Jun-2019;17:21:30;default              ;1539319713;OXYPROBE             ;0.20;min;104.141;%a.s.;humid;28.078;deg;15594;uV;18.220;°C;1009.270;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35575;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.086;V;
27-Jun-2019;17:21:31;default              ;1539319713;OXYPROBE             ;0.22;min;104.331;%a.s.;humid;28.058;deg;15597;uV;18.220;°C;1009.300;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35580;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.087;V;
27-Jun-2019;17:21:32;default              ;1539319713;OXYPROBE             ;0.23;min;104.231;%a.s.;humid;28.068;deg;15592;uV;18.220;°C;1009.330;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35576;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.087;V;
27-Jun-2019;17:21:33;default              ;1539319713;OXYPROBE             ;0.25;min;103.951;%a.s.;humid;28.097;deg;15592;uV;18.220;°C;1009.340;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35580;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.087;V;
27-Jun-2019;17:21:34;default              ;1539319713;OXYPROBE             ;0.27;min;104.110;%a.s.;humid;28.081;deg;15594;uV;18.220;°C;1009.290;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35574;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.087;V;
27-Jun-2019;17:21:35;default              ;1539319713;OXYPROBE             ;0.28;min;104.383;%a.s.;humid;28.052;deg;15597;uV;18.220;°C;1009.360;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35576;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.085;V;
27-Jun-2019;17:21:36;default              ;1539319713;OXYPROBE             ;0.30;min;104.202;%a.s.;humid;28.071;deg;15591;uV;18.220;°C;1009.330;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35580;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.086;V;
27-Jun-2019;17:21:37;default              ;1539319713;OXYPROBE             ;0.32;min;104.314;%a.s.;humid;28.059;deg;15596;uV;18.226;°C;1009.270;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35575;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.086;V;
27-Jun-2019;17:21:38;default              ;1539319713;OXYPROBE             ;0.33;min;104.230;%a.s.;humid;28.067;deg;15596;uV;18.226;°C;1009.340;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35572;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.086;V;
27-Jun-2019;17:21:39;default              ;1539319713;OXYPROBE             ;0.35;min;104.240;%a.s.;humid;28.068;deg;15594;uV;18.220;°C;1009.250;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35576;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.085;V;
27-Jun-2019;17:21:40;default              ;1539319713;OXYPROBE             ;0.37;min;103.974;%a.s.;humid;28.094;deg;15596;uV;18.226;°C;1009.290;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35574;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.086;V;
27-Jun-2019;17:21:41;default              ;1539319713;OXYPROBE             ;0.38;min;104.170;%a.s.;humid;28.074;deg;15591;uV;18.226;°C;1009.260;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35574;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.084;V;
27-Jun-2019;17:21:42;default              ;1539319713;OXYPROBE             ;0.40;min;104.254;%a.s.;humid;28.066;deg;15590;uV;18.220;°C;1009.300;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35572;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.084;V;
27-Jun-2019;17:21:43;default              ;1539319713;OXYPROBE             ;0.42;min;104.374;%a.s.;humid;28.054;deg;15593;uV;18.220;°C;1009.260;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35571;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.086;V;
27-Jun-2019;17:21:44;default              ;1539319713;OXYPROBE             ;0.43;min;104.023;%a.s.;humid;28.089;deg;15591;uV;18.226;°C;1009.290;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35575;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.084;V;
27-Jun-2019;17:21:45;default              ;1539319713;OXYPROBE             ;0.45;min;104.108;%a.s.;humid;28.081;deg;15594;uV;18.220;°C;1009.310;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35569;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.085;V;
27-Jun-2019;17:21:46;default              ;1539319713;OXYPROBE             ;0.47;min;104.175;%a.s.;humid;28.074;deg;15596;uV;18.220;°C;1009.310;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35569;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.084;V;
27-Jun-2019;17:21:47;default              ;1539319713;OXYPROBE             ;0.48;min;104.058;%a.s.;humid;28.086;deg;15593;uV;18.220;°C;1009.330;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35564;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.085;V;
27-Jun-2019;17:21:48;default              ;1539319713;OXYPROBE             ;0.50;min;104.323;%a.s.;humid;28.058;deg;15595;uV;18.226;°C;1009.280;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35568;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.084;V;
27-Jun-2019;17:21:49;default              ;1539319713;OXYPROBE             ;0.52;min;104.222;%a.s.;humid;28.069;deg;15589;uV;18.220;°C;1009.330;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35568;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.085;V;
27-Jun-2019;17:21:50;default              ;1539319713;OXYPROBE             ;0.53;min;104.042;%a.s.;humid;28.087;deg;15596;uV;18.226;°C;1009.290;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35565;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.084;V;
27-Jun-2019;17:21:51;default              ;1539319713;OXYPROBE             ;0.55;min;104.267;%a.s.;humid;28.063;deg;15593;uV;18.226;°C;1009.350;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35569;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.083;V;
27-Jun-2019;17:21:52;default              ;1539319713;OXYPROBE             ;0.57;min;103.986;%a.s.;humid;28.094;deg;15597;uV;18.220;°C;1009.280;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35566;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.085;V;
27-Jun-2019;17:21:53;default              ;1539319713;OXYPROBE             ;0.58;min;104.200;%a.s.;humid;28.072;deg;15590;uV;18.220;°C;1009.260;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35568;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.084;V;
