Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
25-Jun-2019;16:37:24;default              ;1539319713;OXYPROBE             ;0.00;min;108.573;%a.s.;humid;27.519;deg;14987;uV;18.140;°C;1007.120;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.071;deg;19.809;°C;1011;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35383;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190624;184100;1;6.072;V;
25-Jun-2019;16:37:25;default              ;1539319713;OXYPROBE             ;0.02;min;108.751;%a.s.;humid;27.502;deg;14990;uV;18.140;°C;1007.080;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.071;deg;19.809;°C;1011;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35369;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190624;184100;1;6.072;V;
25-Jun-2019;16:37:26;default              ;1539319713;OXYPROBE             ;0.03;min;108.571;%a.s.;humid;27.520;deg;14986;uV;18.140;°C;1007.050;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.071;deg;19.809;°C;1011;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35368;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190624;184100;1;6.071;V;
25-Jun-2019;16:37:27;default              ;1539319713;OXYPROBE             ;0.05;min;108.551;%a.s.;humid;27.523;deg;14983;uV;18.134;°C;1007.050;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.071;deg;19.809;°C;1011;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35367;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190624;184100;1;6.071;V;
25-Jun-2019;16:37:28;default              ;1539319713;OXYPROBE             ;0.07;min;108.609;%a.s.;humid;27.517;deg;14990;uV;18.134;°C;1007.080;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.071;deg;19.809;°C;1011;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35361;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190624;184100;1;6.069;V;
25-Jun-2019;16:37:29;default              ;1539319713;OXYPROBE             ;0.08;min;108.665;%a.s.;humid;27.511;deg;14990;uV;18.140;°C;1007.030;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.071;deg;19.809;°C;1011;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35364;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190624;184100;1;6.070;V;
25-Jun-2019;16:37:30;default              ;1539319713;OXYPROBE             ;0.10;min;108.573;%a.s.;humid;27.519;deg;14988;uV;18.140;°C;1007.120;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.071;deg;19.809;°C;1011;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35366;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190624;184100;1;6.069;V;
25-Jun-2019;16:37:31;default              ;1539319713;OXYPROBE             ;0.12;min;108.568;%a.s.;humid;27.522;deg;14997;uV;18.128;°C;1007.090;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.071;deg;19.809;°C;1011;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35359;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190624;184100;1;6.072;V;
25-Jun-2019;16:37:32;default              ;1539319713;OXYPROBE             ;0.13;min;108.793;%a.s.;humid;27.499;deg;14990;uV;18.134;°C;1007.070;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.071;deg;19.809;°C;1011;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35361;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190624;184100;1;6.072;V;
25-Jun-2019;16:37:33;default              ;1539319713;OXYPROBE             ;0.15;min;108.684;%a.s.;humid;27.509;deg;15003;uV;18.140;°C;1007.040;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.071;deg;19.809;°C;1011;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35358;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190624;184100;1;6.069;V;
25-Jun-2019;16:37:34;default              ;1539319713;OXYPROBE             ;0.17;min;108.678;%a.s.;humid;27.509;deg;14999;uV;18.140;°C;1007.090;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.071;deg;19.809;°C;1011;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35356;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190624;184100;1;6.068;V;
25-Jun-2019;16:37:35;default              ;1539319713;OXYPROBE             ;0.18;min;108.541;%a.s.;humid;27.524;deg;14995;uV;18.134;°C;1007.050;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.071;deg;19.809;°C;1011;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35354;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190624;184100;1;6.068;V;
25-Jun-2019;16:37:36;default              ;1539319713;OXYPROBE             ;0.20;min;108.942;%a.s.;humid;27.482;deg;14990;uV;18.146;°C;1007.100;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.071;deg;19.809;°C;1011;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35356;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190624;184100;1;6.070;V;
25-Jun-2019;16:37:37;default              ;1539319713;OXYPROBE             ;0.22;min;108.580;%a.s.;humid;27.519;deg;14996;uV;18.140;°C;1007.060;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.071;deg;19.809;°C;1011;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35354;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190624;184100;1;6.069;V;
