***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1230910;
PM number         : 20112620;
Serial number     : S DLA 0002 000078   ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 075;
Ref LED amplitude : 88757;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 24.0 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 59.64 at 017.1∞C amp 089100;
100.00%a.s.phase 2: 28.71 at 019.7∞C amp 041600;
Date   (ddmmyy)   : 230619;
Pressure (mBar)   : 1015;
;
FIRMWARE;
"Code 3.016 (IAP)  : 08/20/04, 09:50:56;"
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
23/06/19;
4:16:05 PM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   1;
measure mode;  5 sec ;

start time; 4:16:05 PM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/% airsatur.; phase/∞; amp; temp/∞C; ErrorMessage;
23/06/19;   16:16:05;       0.000;  93.145;   29.83;   37950;   18.10; E0;
23/06/19;   16:16:11;       0.102;  93.061;   29.84;   37968;   18.10; E0;
23/06/19;   16:16:17;       0.186;  93.145;   29.83;   38013;   18.10; E0;
23/06/19;   16:16:22;       0.270;  92.313;   29.93;   38122;   18.10; E0;
23/06/19;   16:16:27;       0.355;  92.065;   29.96;   38154;   18.10; E0;
23/06/19;   16:16:32;       0.440;  92.313;   29.93;   38172;   18.10; E0;
23/06/19;   16:16:37;       0.524;  92.230;   29.94;   38102;   18.10; E0;
23/06/19;   16:16:42;       0.609;  92.811;   29.87;   38042;   18.10; E0;
23/06/19;   16:16:46;       0.676;  92.978;   29.85;   37945;   18.10; E0;
23/06/19;   16:16:51;       0.761;  93.732;   29.76;   37861;   18.10; E0;
23/06/19;   16:16:56;       0.845;  93.901;   29.74;   37794;   18.10; E0;
23/06/19;   16:17:01;       0.930;  94.324;   29.69;   37708;   18.10; E0;
23/06/19;   16:17:06;       1.014;  94.921;   29.62;   37640;   18.10; E0;
23/06/19;   16:17:11;       1.099;  95.104;   29.62;   37562;   18.00; E0;
23/06/19;   16:17:16;       1.183;  95.966;   29.52;   37535;   18.00; E0;
23/06/19;   16:17:21;       1.268;  95.620;   29.56;   37465;   18.00; E0;
23/06/19;   16:17:27;       1.352;  96.052;   29.51;   37416;   18.00; E0;
23/06/19;   16:17:32;       1.437;  96.226;   29.49;   37398;   18.00; E0;
23/06/19;   16:17:37;       1.521;  96.226;   29.49;   37304;   18.00; E0;
23/06/19;   16:17:42;       1.606;  96.749;   29.43;   37267;   18.00; E0;
23/06/19;   16:17:47;       1.690;  96.662;   29.44;   37272;   18.00; E0;
23/06/19;   16:17:52;       1.775;  96.749;   29.43;   37211;   18.00; E0;
23/06/19;   16:17:57;       1.859;  97.012;   29.40;   37193;   18.00; E0;
23/06/19;   16:18:01;       1.927;  97.012;   29.40;   37154;   18.00; E0;
23/06/19;   16:18:06;       2.011;  97.540;   29.34;   37117;   18.00; E0;
