***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1230910;
PM number         : 20112620;
Serial number     : S DLA 0002 000078   ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 075;
Ref LED amplitude : 87967;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 25.3 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 59.64 at 017.1∞C amp 089100;
100.00%a.s.phase 2: 28.42 at 021.0∞C amp 045700;
Date   (ddmmyy)   : 010719;
Pressure (mBar)   : 1013;
;
FIRMWARE;
"Code 3.016 (IAP)  : 08/20/04, 09:50:56;"
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
02/07/19;
8:46:29 AM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   1;
measure mode;  5 sec ;

start time; 8:46:29 AM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/% airsatur.; phase/∞; amp; temp/∞C; ErrorMessage;
02/07/19;   08:46:29;       0.000;  87.273;   30.60;   44579;   17.80; E0;
02/07/19;   08:46:35;       0.102;  86.965;   30.64;   44700;   17.80; E0;
02/07/19;   08:46:40;       0.186;  86.734;   30.67;   44692;   17.80; E0;
02/07/19;   08:46:45;       0.270;  86.888;   30.65;   44665;   17.80; E0;
02/07/19;   08:46:50;       0.355;  86.965;   30.64;   44605;   17.80; E0;
02/07/19;   08:46:55;       0.439;  87.506;   30.57;   44549;   17.80; E0;
02/07/19;   08:47:00;       0.524;  87.661;   30.55;   44470;   17.80; E0;
02/07/19;   08:47:05;       0.609;  87.739;   30.54;   44445;   17.80; E0;
02/07/19;   08:47:09;       0.676;  87.973;   30.51;   44421;   17.80; E0;
02/07/19;   08:47:14;       0.761;  87.973;   30.51;   44393;   17.80; E0;
02/07/19;   08:47:19;       0.845;  88.051;   30.50;   44403;   17.80; E0;
02/07/19;   08:47:25;       0.930;  87.973;   30.51;   44356;   17.80; E0;
02/07/19;   08:47:30;       1.014;  88.051;   30.50;   44327;   17.80; E0;
02/07/19;   08:47:35;       1.099;  88.286;   30.47;   44285;   17.80; E0;
02/07/19;   08:47:40;       1.183;  88.443;   30.45;   44254;   17.80; E0;
02/07/19;   08:47:45;       1.268;  88.443;   30.45;   44239;   17.80; E0;
02/07/19;   08:47:50;       1.352;  88.443;   30.45;   44212;   17.80; E0;
02/07/19;   08:47:55;       1.437;  88.837;   30.40;   44157;   17.80; E0;
02/07/19;   08:48:00;       1.521;  88.837;   30.40;   44142;   17.80; E0;
02/07/19;   08:48:05;       1.605;  88.916;   30.39;   44083;   17.80; E0;
02/07/19;   08:48:10;       1.690;  89.075;   30.37;   44055;   17.80; E0;
02/07/19;   08:48:15;       1.775;  89.154;   30.36;   44048;   17.80; E0;
02/07/19;   08:48:20;       1.859;  88.837;   30.40;   44061;   17.80; E0;
02/07/19;   08:48:24;       1.927;  88.916;   30.39;   44127;   17.80; E0;
02/07/19;   08:48:29;       2.011;  88.679;   30.42;   44137;   17.80; E0;
