***** DESCRIPTION ***********;
[enter the description here];

***** INSTRUMENT INFO *******;
IDENTIFICATION;
PHIboard number   : v1230910;
PM number         : 20112620;
Serial number     : S DLA 0002 000078   ;
MUX channel       : OFF - 00;
;
PARAMETERS;
Signal LED current: 050;
Ref LED current   : 075;
Ref LED amplitude : 87948;
Frequency         : 006;
Sending interval  : 0001;
Averaging         : 2;
Internal temp     : 25.1 C;
;
SYSTEM SETTINGS;
APL function      : ON;
Temp compensation : ON - ch a;
Analog out        : chA t chB t;
RS232 echo        : ON;
Oxygen unit       : %a.s.;
;
CALIBRATION;
Sensor type       : 2;
0%a.s.phase 1     : 59.64 at 017.1∞C amp 089100;
100.00%a.s.phase 2: 28.87 at 019.2∞C amp 046100;
Date   (ddmmyy)   : 021219;
Pressure (mBar)   : 1018;
;
FIRMWARE;
"Code 3.016 (IAP)  : 08/20/04, 09:50:56;"
Xilinx built      : 01/05/04 (MM/DD/YY);
Reset condition   : SLEEP;
 ;
 ;
 ;
 ;
 ;
 ;
 ;
 ;

***** SOFTWARE INFO *********;
OxyView - PST3-V6.02 10/2007;
© by PreSens GmbH;
02/12/19;
6:00:42 PM;

******MEASURE MODE SETTINGS**;
Dynamic Averaging;   1;
measure mode;  5 sec ;

start time; 6:00:42 PM; 
date(DD/MM/YY); time/hh:mm:ss; logtime/min; oxygen/% airsatur.; phase/∞; amp; temp/∞C; ErrorMessage;
02/12/19;   18:00:42;       0.000;  95.428;   29.64;   40381;   18.00; E0;
02/12/19;   18:00:48;       0.101;  95.514;   29.63;   40358;   18.00; E0;
02/12/19;   18:00:54;       0.186;  95.514;   29.63;   40359;   18.00; E0;
02/12/19;   18:00:59;       0.271;  95.171;   29.67;   40378;   18.00; E0;
02/12/19;   18:01:04;       0.355;  95.085;   29.68;   40635;   18.00; E0;
02/12/19;   18:01:09;       0.440;  94.829;   29.71;   40633;   18.00; E0;
02/12/19;   18:01:14;       0.524;  94.573;   29.74;   40733;   18.00; E0;
02/12/19;   18:01:19;       0.608;  94.149;   29.79;   40781;   18.00; E0;
02/12/19;   18:01:23;       0.676;  94.149;   29.79;   40832;   18.00; E0;
02/12/19;   18:01:28;       0.761;  93.643;   29.85;   40812;   18.00; E0;
02/12/19;   18:01:33;       0.845;  93.224;   29.90;   40831;   18.00; E0;
02/12/19;   18:01:38;       0.930;  93.643;   29.85;   40819;   18.00; E0;
02/12/19;   18:01:43;       1.014;  93.057;   29.92;   40814;   18.00; E0;
02/12/19;   18:01:48;       1.099;  93.559;   29.86;   40809;   18.00; E0;
02/12/19;   18:01:53;       1.183;  93.896;   29.82;   40774;   18.00; E0;
02/12/19;   18:01:58;       1.268;  93.727;   29.84;   40740;   18.00; E0;
02/12/19;   18:02:03;       1.352;  93.559;   29.86;   40713;   18.00; E0;
