Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
13-Dec-2019;08:26:55;default              ;1539319713;OXYPROBE             ;0.00;min;97.301;%a.s.;humid;28.917;deg;13745;uV;18.207;°C;1015.170;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35036;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.150;V;
13-Dec-2019;08:27:00;default              ;1539319713;OXYPROBE             ;0.08;min;97.220;%a.s.;humid;28.926;deg;13767;uV;18.207;°C;1015.180;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35029;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.120;V;
13-Dec-2019;08:27:05;default              ;1539319713;OXYPROBE             ;0.17;min;97.450;%a.s.;humid;28.900;deg;13772;uV;18.207;°C;1015.180;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35039;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.120;V;
13-Dec-2019;08:27:10;default              ;1539319713;OXYPROBE             ;0.25;min;97.276;%a.s.;humid;28.920;deg;13785;uV;18.207;°C;1015.150;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35033;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.120;V;
13-Dec-2019;08:27:15;default              ;1539319713;OXYPROBE             ;0.33;min;97.205;%a.s.;humid;28.928;deg;13785;uV;18.207;°C;1015.150;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35034;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.120;V;
13-Dec-2019;08:27:20;default              ;1539319713;OXYPROBE             ;0.42;min;97.433;%a.s.;humid;28.902;deg;13788;uV;18.207;°C;1015.180;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35042;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.120;V;
13-Dec-2019;08:27:25;default              ;1539319713;OXYPROBE             ;0.50;min;97.167;%a.s.;humid;28.933;deg;13789;uV;18.201;°C;1015.190;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35040;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.120;V;
13-Dec-2019;08:27:30;default              ;1539319713;OXYPROBE             ;0.58;min;97.187;%a.s.;humid;28.931;deg;13802;uV;18.201;°C;1015.160;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35039;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.119;V;
13-Dec-2019;08:27:35;default              ;1539319713;OXYPROBE             ;0.67;min;97.270;%a.s.;humid;28.920;deg;13866;uV;18.207;°C;1015.210;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35039;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.120;V;
13-Dec-2019;08:27:40;default              ;1539319713;OXYPROBE             ;0.75;min;97.336;%a.s.;humid;28.913;deg;13867;uV;18.207;°C;1015.170;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35038;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.119;V;
13-Dec-2019;08:27:45;default              ;1539319713;OXYPROBE             ;0.83;min;97.414;%a.s.;humid;28.904;deg;13862;uV;18.207;°C;1015.190;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35038;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.120;V;
13-Dec-2019;08:27:50;default              ;1539319713;OXYPROBE             ;0.92;min;97.166;%a.s.;humid;28.933;deg;13865;uV;18.201;°C;1015.200;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35039;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.119;V;
13-Dec-2019;08:27:55;default              ;1539319713;OXYPROBE             ;1.00;min;97.381;%a.s.;humid;28.908;deg;13864;uV;18.207;°C;1015.160;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35041;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.120;V;
13-Dec-2019;08:28:00;default              ;1539319713;OXYPROBE             ;1.08;min;97.407;%a.s.;humid;28.905;deg;13854;uV;18.207;°C;1015.170;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35042;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.119;V;
13-Dec-2019;08:28:05;default              ;1539319713;OXYPROBE             ;1.17;min;97.442;%a.s.;humid;28.900;deg;13856;uV;18.213;°C;1015.170;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35042;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.120;V;
13-Dec-2019;08:28:10;default              ;1539319713;OXYPROBE             ;1.25;min;97.256;%a.s.;humid;28.923;deg;13854;uV;18.201;°C;1015.180;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35046;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.120;V;
13-Dec-2019;08:28:15;default              ;1539319713;OXYPROBE             ;1.33;min;97.319;%a.s.;humid;28.915;deg;13852;uV;18.207;°C;1015.160;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35047;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.119;V;
13-Dec-2019;08:28:20;default              ;1539319713;OXYPROBE             ;1.42;min;97.274;%a.s.;humid;28.920;deg;13855;uV;18.207;°C;1015.170;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35047;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.120;V;
13-Dec-2019;08:28:25;default              ;1539319713;OXYPROBE             ;1.50;min;97.514;%a.s.;humid;28.894;deg;13857;uV;18.201;°C;1015.170;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.336;deg;19.437;°C;1021;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35048;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191212;184100;1;6.121;V;
